Date,Open,High,Low,Close,Adj Close,Volume
2000-05-19,27.765625,27.765625,27.437500,27.437500,23.689451,80000
2000-05-22,26.500000,26.500000,26.500000,26.500000,22.880022,400
2000-05-23,27.312500,27.312500,27.000000,27.093750,23.392653,104000
2000-05-24,25.734375,26.812500,24.875000,26.812500,23.149824,96400
2000-05-25,27.593750,27.617188,26.437500,26.437500,22.826054,64800
2000-05-26,26.531250,26.531250,26.406250,26.406250,22.799078,1200
2000-05-30,27.250000,28.070313,27.250000,28.070313,24.235819,11600
2000-05-31,28.773438,28.898438,28.773438,28.804688,24.869879,9600
2000-06-01,28.687500,29.500000,28.687500,29.492188,25.463461,13600
2000-06-02,31.250000,31.312500,31.117188,31.187500,26.927185,13600
2000-06-05,30.937500,31.906250,30.890625,31.531250,27.223989,77200
2000-06-06,31.460938,31.625000,30.992188,31.117188,26.866484,2800
2000-06-07,30.554688,31.492188,30.500000,31.492188,27.190264,11200
2000-06-08,31.906250,31.906250,31.429688,31.429688,27.136295,9600
2000-06-09,31.765625,31.875000,31.625000,31.812500,27.466820,12800
2000-06-12,31.570313,31.570313,30.937500,31.125000,26.873228,3600
2000-06-13,30.687500,31.375000,30.257813,31.375000,27.089088,18400
2000-06-14,31.640625,31.687500,31.000000,31.000000,26.765305,22000
2000-06-15,31.015625,31.503906,30.875000,31.429688,27.136295,8800
2000-06-16,31.531250,31.570313,31.125000,31.480469,27.180143,3200
2000-06-19,31.750000,32.960938,31.742188,32.843750,28.357189,10000
2000-06-20,33.531250,33.531250,32.972656,32.972656,28.468491,40400
2000-06-21,32.734375,33.484375,32.734375,33.390625,28.829350,13600
2000-06-22,33.312500,33.312500,32.523438,32.523438,28.080633,17200
2000-06-23,32.500000,32.500000,31.500000,31.734375,27.399351,13200
2000-06-26,31.812500,31.953125,31.796875,31.796875,27.453325,3200
2000-06-27,32.117188,32.117188,31.625000,31.710938,27.379128,2000
2000-06-28,31.765625,32.367188,31.765625,32.000000,27.628704,10000
2000-06-29,31.445313,31.589844,31.156250,31.589844,27.274572,1200
2000-06-30,31.632813,31.890625,31.625000,31.890625,27.534269,710400
2000-07-03,32.058594,32.140625,32.058594,32.140625,27.750120,800
2000-07-05,31.562500,31.562500,30.640625,30.679688,26.488752,112000
2000-07-06,30.781250,31.468750,30.312500,31.468750,27.170023,8400
2000-07-07,32.015625,32.406250,32.015625,32.218750,27.817575,12800
2000-07-10,32.210938,32.210938,31.816406,31.816406,27.470182,16400
2000-07-11,31.718750,32.296875,31.492188,31.492188,27.190264,34400
2000-07-12,32.109375,32.640625,31.984375,32.617188,28.161587,47200
2000-07-13,32.914063,33.562500,32.859375,33.429688,28.863096,285200
2000-07-14,33.781250,34.054688,33.656250,34.054688,29.402710,48000
2000-07-17,33.953125,34.437500,33.953125,34.328125,29.638794,27200
2000-07-18,33.640625,33.640625,33.253906,33.375000,28.815866,16400
2000-07-19,33.109375,33.109375,32.343750,32.343750,27.925497,26000
2000-07-20,32.687500,33.203125,32.687500,33.125000,28.600018,167200
2000-07-21,32.839844,32.839844,32.328125,32.328125,27.911997,17200
2000-07-24,32.171875,32.171875,31.527344,31.527344,27.220610,4000
2000-07-25,31.839844,31.890625,31.500000,31.890625,27.534269,2400
2000-07-26,31.171875,31.289063,31.000000,31.289063,27.014875,5200
2000-07-27,31.039063,31.039063,30.312500,30.500000,26.333603,10000
2000-07-28,30.468750,30.468750,29.035156,29.035156,25.068853,51200
2000-07-31,29.484375,30.070313,28.984375,30.070313,25.962614,88800
2000-08-01,29.968750,29.968750,29.484375,29.484375,25.456720,24000
2000-08-02,29.687500,29.750000,29.128906,29.128906,25.149799,2800
2000-08-03,28.250000,29.750000,28.234375,29.750000,25.686056,10400
2000-08-04,30.406250,30.562500,29.769531,29.769531,25.702915,28800
2000-08-07,30.156250,30.750000,30.156250,30.746094,26.546089,8800
2000-08-08,30.761719,31.093750,30.761719,30.945313,26.718084,6400
2000-08-09,31.339844,31.625000,30.925781,31.058594,26.815887,12400
2000-08-10,30.859375,30.929688,30.343750,30.343750,26.198698,6800
2000-08-11,29.625000,30.277344,29.625000,30.195313,26.070543,69200
2000-08-14,30.523438,30.953125,30.343750,30.921875,26.697853,39600
2000-08-15,31.343750,31.425781,31.000000,31.214844,26.950796,6000
2000-08-16,31.671875,31.671875,31.144531,31.375000,27.089088,8000
2000-08-17,31.312500,32.187500,31.312500,32.066406,27.686037,10400
2000-08-18,32.265625,32.437500,32.234375,32.234375,27.831060,7600
2000-08-21,32.429688,32.429688,31.937500,32.195313,27.797333,12000
2000-08-22,32.484375,32.578125,32.250000,32.250000,27.844551,6800
2000-08-23,32.171875,32.871094,31.937500,32.757813,28.282991,8800
2000-08-24,32.804688,33.085938,32.804688,33.003906,28.495472,26000
2000-08-25,33.023438,33.210938,32.906250,32.968750,28.465118,10000
2000-08-28,33.031250,33.554688,33.031250,33.515625,28.937273,26000
2000-08-29,33.296875,33.679688,33.292969,33.625000,29.031712,8000
2000-08-30,33.539063,33.574219,33.234375,33.574219,28.987875,15200
2000-08-31,33.726563,34.281250,33.726563,34.203125,29.530869,7200
2000-09-01,34.554688,34.750000,34.265625,34.296875,29.611803,27600
2000-09-05,34.078125,34.078125,33.484375,33.484375,28.910305,18800
2000-09-06,33.023438,33.023438,32.421875,32.421875,27.992941,3600
2000-09-07,32.625000,33.328125,32.625000,33.171875,28.640503,18000
2000-09-08,32.687500,32.687500,32.281250,32.281250,27.871540,2000
2000-09-11,32.046875,32.109375,31.101563,31.234375,26.967667,14000
2000-09-12,31.570313,31.687500,30.625000,30.625000,26.441538,12000
2000-09-13,30.281250,31.109375,30.281250,30.796875,26.589924,10800
2000-09-14,31.687500,31.914063,31.125000,31.125000,26.873228,21600
2000-09-15,31.109375,31.109375,30.328125,30.511719,26.343725,6800
2000-09-18,30.835938,30.835938,29.828125,30.125000,26.009827,27600
2000-09-19,30.250000,31.300781,30.250000,31.300781,27.025002,7200
2000-09-20,31.410156,31.812500,30.906250,31.812500,27.466820,45200
2000-09-21,31.343750,31.445313,30.937500,31.296875,27.021627,14000
2000-09-22,29.000000,30.265625,29.000000,30.265625,26.131243,20000
2000-09-25,30.875000,30.968750,29.718750,29.734375,25.672569,12000
2000-09-26,29.500000,29.656250,29.156250,29.390625,25.375774,5600
2000-09-27,29.546875,29.652344,28.750000,28.921875,24.971058,9600
2000-09-28,29.136719,30.066406,28.984375,29.996094,25.898539,35200
2000-09-29,29.578125,29.578125,28.843750,29.015625,25.052000,10000
2000-10-02,28.937500,29.277344,28.078125,28.343750,24.471905,26800
2000-10-03,28.683594,28.812500,27.250000,27.250000,23.527561,16000
2000-10-04,26.968750,27.652344,26.687500,27.652344,23.874949,8400
2000-10-05,27.640625,27.875000,27.250000,27.515625,23.756905,11600
2000-10-06,27.367188,27.539063,26.250000,26.703125,23.055395,35600
2000-10-09,26.500000,26.968750,25.656250,26.695313,23.048647,47600
